Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	OUTLIERRG	MTP	Tm1	Tm2	Tm3	Tm4
76	G4	FALSE	Day8	YTHDC1	UNKNOWN	SYBR	None	24.482	25.977	1.316								TRUE	0.427	TRUE	3	19	Amp		0.991	Y	N	N	82.029			
77	G5	FALSE	Day8	YTHDC1	UNKNOWN	SYBR	None	26.961	25.977	1.316								TRUE	0.427	TRUE	3	20	Amp		0.992	Y	N	Y	81.735	65.840		
78	G6	FALSE	Day8	YTHDC1	UNKNOWN	SYBR	None	26.489	25.977	1.316								TRUE	0.427	TRUE	3	19	Amp		0.991	Y	N	Y	81.735	64.218		
79	G7	FALSE	EB	YTHDC2	UNKNOWN	SYBR	None	29.612	29.518	0.130								TRUE	0.375	TRUE	3	22	Amp		0.989	N	N	N	81.753			
80	G8	FALSE	EB	YTHDC2	UNKNOWN	SYBR	None	29.573	29.518	0.130								TRUE	0.375	TRUE	3	22	Amp		0.987	N	N	N	81.753			
81	G9	FALSE	EB	YTHDC2	UNKNOWN	SYBR	None	29.371	29.518	0.130								TRUE	0.375	TRUE	3	23	Amp		0.988	N	N	N	81.587			
82	G10	FALSE	Day8	YTHDC2	UNKNOWN	SYBR	None	28.877	28.984	0.190								TRUE	0.375	TRUE	3	20	Amp		0.978	N	N	N	81.425			
83	G11	FALSE	Day8	YTHDC2	UNKNOWN	SYBR	None	29.203	28.984	0.190								TRUE	0.375	TRUE	3	24	Amp		0.989	N	N	N	81.745			
84	G12	FALSE	Day8	YTHDC2	UNKNOWN	SYBR	None	28.873	28.984	0.190								TRUE	0.375	TRUE	3	23	Amp		0.991	N	N	N	81.907			
85	H1	FALSE	Day4	YTHDC1	UNKNOWN	SYBR	None	23.903	25.917	1.836								TRUE	0.427	TRUE	3	16	Amp		0.989	Y	N	N	81.906			
86	H2	FALSE	Day4	YTHDC1	UNKNOWN	SYBR	None	27.495	25.917	1.836								TRUE	0.427	TRUE	3	21	Amp		0.989	Y	N	N	81.743			
87	H3	FALSE	Day4	YTHDC1	UNKNOWN	SYBR	None	26.354	25.917	1.836								TRUE	0.427	TRUE	3	20	Amp		0.990	Y	N	N	81.867			
91	H7	FALSE	Day4	YTHDC2	UNKNOWN	SYBR	None	28.091	28.191	0.123								TRUE	0.375	TRUE	3	22	Amp		0.990	N	N	N	81.753			
92	H8	FALSE	Day4	YTHDC2	UNKNOWN	SYBR	None	28.153	28.191	0.123								TRUE	0.375	TRUE	3	23	Amp		0.988	N	N	N	81.591			
93	H9	FALSE	Day4	YTHDC2	UNKNOWN	SYBR	None	28.329	28.191	0.123								TRUE	0.375	TRUE	3	23	Amp		0.987	N	N	N	81.587			
