Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	CQCONF	Tm1
66	F6	FALSE	FTO D3	PPAR-r	UNKNOWN	SYBR	None	24.355	24.265	0.127								TRUE	0.318	TRUE	3	18	Amp		0.940	N	N	83.707
67	F7	FALSE	SCR D3	FABP4	UNKNOWN	SYBR	None	17.971	18.100	0.183								TRUE	0.463	TRUE	3	12	Amp		0.952	N	N	83.715
68	F8	FALSE	FTO D3	FABP4	UNKNOWN	SYBR	None	20.101	20.119	0.026								TRUE	0.463	TRUE	3	14	Amp		0.936	N	N	83.553
73	G1	FALSE	SCR D7	ACTIN	UNKNOWN	SYBR	None	15.065	15.041	0.035								TRUE	0.226	TRUE	3	9	Amp		0.926	N	N	84.524
74	G2	FALSE	FTO D7	ACTIN	UNKNOWN	SYBR	None	15.686	15.749	0.090								TRUE	0.226	TRUE	3	10	Amp		0.915	N	N	84.524
75	G3	FALSE	SCR D7	Fto	UNKNOWN	SYBR	None	21.809	21.824	0.020								TRUE	0.363	TRUE	3	16	Amp		0.928	N	N	83.516
76	G4	FALSE	FTO D7	Fto	UNKNOWN	SYBR	None	25.924	25.851	0.103								TRUE	0.363	TRUE	3	19	Amp		0.914	N	N	83.516
77	G5	FALSE	SCR D7	PPAR-r	UNKNOWN	SYBR	None	23.514	23.402	0.158								TRUE	0.318	TRUE	3	19	Amp		0.902	N	N	83.544
78	G6	FALSE	FTO D7	PPAR-r	UNKNOWN	SYBR	None	24.086	23.973	0.159								TRUE	0.318	TRUE	3	19	Amp		0.781	N	Y	83.544
79	G7	FALSE	SCR D7	FABP4	UNKNOWN	SYBR	None	16.794	16.804	0.014								TRUE	0.463	TRUE	3	12	Amp		0.969	N	N	83.553
80	G8	FALSE	FTO D7	FABP4	UNKNOWN	SYBR	None	19.738	19.705	0.046								TRUE	0.463	TRUE	3	14	Amp		0.924	N	N	83.553
85	H1	FALSE	SCR D7	ACTIN	UNKNOWN	SYBR	None	15.016	15.041	0.035								TRUE	0.226	TRUE	3	9	Amp		0.944	N	N	84.362
86	H2	FALSE	FTO D7	ACTIN	UNKNOWN	SYBR	None	15.812	15.749	0.090								TRUE	0.226	TRUE	3	11	Amp		0.923	N	N	84.524
87	H3	FALSE	SCR D7	Fto	UNKNOWN	SYBR	None	21.838	21.824	0.020								TRUE	0.363	TRUE	3	16	Amp		0.932	N	N	83.516
88	H4	FALSE	FTO D7	Fto	UNKNOWN	SYBR	None	25.779	25.851	0.103								TRUE	0.363	TRUE	3	20	Amp		0.940	N	N	83.353
89	H5	FALSE	SCR D7	PPAR-r	UNKNOWN	SYBR	None	23.291	23.402	0.158								TRUE	0.318	TRUE	3	18	Amp		0.932	N	N	83.544
90	H6	FALSE	FTO D7	PPAR-r	UNKNOWN	SYBR	None	23.861	23.973	0.159								TRUE	0.318	TRUE	3	18	Amp		0.922	N	N	83.544
91	H7	FALSE	SCR D7	FABP4	UNKNOWN	SYBR	None	16.814	16.804	0.014								TRUE	0.463	TRUE	3	11	Amp		0.968	N	N	83.553
92	H8	FALSE	FTO D7	FABP4	UNKNOWN	SYBR	None	19.673	19.705	0.046								TRUE	0.463	TRUE	3	14	Amp		0.938	N	N	83.553
